unionai-oss,pandera,pandera/import_utils.py,https://github.com/unionai-oss/pandera/blob/4f8bdbf47ff820863512603afd8aebb18efac5cc/pandera/import_utils.py
schemathesis,schemathesis,src/schemathesis/targets.py,https://github.com/schemathesis/schemathesis/blob/c889185aa788cb1140f0fd0ff69649059bf7c52b/src/schemathesis/targets.py
CyberAgentAILab,cmaes,fuzzing.py,https://github.com/CyberAgentAILab/cmaes/blob/0254e36514c43a6756319f7bf06d378e30f9d295/fuzzing.py
pschanely,CrossHair,crosshair/main.py,https://github.com/pschanely/CrossHair/blob/eb43790b3986a47a2abdd0ebb85fcc6d7846a693/crosshair/main.py
quantumjot,btrack,btrack/core.py,https://github.com/quantumjot/btrack/blob/c0dfd9d45c6140c33682ec25b436587b62297bc8/btrack/core.py
lycantropos,hypothesis_sqlalchemy,setup.py,https://github.com/lycantropos/hypothesis_sqlalchemy/blob/deadbf432b2e045530d63261778ca54f76135d62/setup.py
Zac-HD,shed,src/shed/_codemods.py,https://github.com/Zac-HD/shed/blob/6471da71c5b5cc443443ef5ed072799db275e7c0/src/shed/_codemods.py
KarchinLab,SCHISM,runSchism,https://github.com/KarchinLab/SCHISM/blob/cd7094ef2d3b69dfd422587a5ce8f318ae7f4afb/runSchism
curvefi,crypto_lp_pricing,fuzz_qbrt.py,https://github.com/curvefi/crypto_lp_pricing/blob/b6fea6943d5ddf8648f05d442daad284c1757c86/fuzz_qbrt.py
cndn,intelligent-code-completion,raw_data/33079_package.py,https://github.com/cndn/intelligent-code-completion/blob/afdddafbc88fcf873efa8909f03f5ca7083dbb27/raw_data/33079_package.py
ipums,ipumspy,docs/source/conf.py,https://github.com/ipums/ipumspy/blob/bbaf209fe6287cf94e69214afa92c2682f13b0a8/docs/source/conf.py
maximkulkin,hypothesis-regex,hypothesis_regex.py,https://github.com/maximkulkin/hypothesis-regex/blob/dd139e97f5ef555dc61e9636bbe96558a5c7801f/hypothesis_regex.py
mvelezg99,m_stats,m_stats/__init__.py,https://github.com/mvelezg99/m_stats/blob/688a2fff1f4e630c0c3faad3dd5166b171f0f0f0/m_stats/__init__.py
montefiore-institute,trust-crisis-in-simulation-based-inference,workflows/SNRE/slcp/snre.py,https://github.com/montefiore-institute/trust-crisis-in-simulation-based-inference/blob/9dca4a508a19c514422a9b177d4fcf1dad6ea693/workflows/SNRE/slcp/snre.py
wware,python-hacks,hypothesis/hanoi.py,https://github.com/wware/python-hacks/blob/0b22ba13b8c18a94d814c710607c3cdbde8d2868/hypothesis/hanoi.py
DavidJPWard,showMeMildew,app.py,https://github.com/DavidJPWard/showMeMildew/blob/2df61b5665ddced279aa4dd423f6b8bf7ab5a736/app.py
Tomosius,heritage_houses_p5,app.py,https://github.com/Tomosius/heritage_houses_p5/blob/cd8894cad744d98a34cd4b9c46867066d4aa8f96/app.py
asauray,linear-regression,plot.py,https://github.com/asauray/linear-regression/blob/197d28cf731c49a46bd28fc4fcfed7f3dafc5ec6/plot.py
nickderobertis,regtools,regtools/__init__.py,https://github.com/nickderobertis/regtools/blob/f0727195a38716a22e18d4f2c99f3b1cbf48cac8/regtools/__init__.py
orsinium-labs,python-testing,product.py,https://github.com/orsinium-labs/python-testing/blob/18ceb17ac5042e6a132e04c101e013ef9f4beca7/product.py
sraaphorst,daily-coding-problem,dcp_py/day019/day019.py,https://github.com/sraaphorst/daily-coding-problem/blob/5981e97106376186241f0fad81ee0e3a9b0270b5/dcp_py/day019/day019.py
reiddraper,array-binary-encoding,compare.py,https://github.com/reiddraper/array-binary-encoding/blob/0ece9478c4e5def1cc4c8d448fe0ee49e014be64/compare.py
mwhittaker,serial,schedule.py,https://github.com/mwhittaker/serial/blob/6ba3f82a173e0f461c9b4d7b6cb47410715b39f2/schedule.py
remorses,skema,skema/fake_data/regex.py,https://github.com/remorses/skema/blob/b6217db0d305cc5eee781ec4af4ac429068632cf/skema/fake_data/regex.py
JoeriHermans,constraining-dark-matter-with-stellar-streams-and-ml,notebooks/toy.py,https://github.com/JoeriHermans/constraining-dark-matter-with-stellar-streams-and-ml/blob/389e6ccf0b876b94477e2ed15442775e75b9c66b/notebooks/toy.py
qjacob,ft_linear_regression,GradientDescent.py,https://github.com/qjacob/ft_linear_regression/blob/f0faed1c3f31db100c98f14940f3daf31b6490c3/GradientDescent.py
softdevteam,guard-compatible-benchmarks,benchmarks/bm_hypothesis.py,https://github.com/softdevteam/guard-compatible-benchmarks/blob/9f01583eeed8e53c8932fe2d3d1f5310f310bf53/benchmarks/bm_hypothesis.py
matthiasgoergens,AbsencePattern,absencePatterns.py,https://github.com/matthiasgoergens/AbsencePattern/blob/9866b9cd629cbf93837b4847e730988520428e13/absencePatterns.py
neilvyas,GloriousHacks,strategize/validators.py,https://github.com/neilvyas/GloriousHacks/blob/0d7d5ca66d04e20baf344af7d98fcffad56ba2ab/strategize/validators.py
mausch,compare_quickchecks,python-hypothesis.py,https://github.com/mausch/compare_quickchecks/blob/54040eb4e45375e6a42d4d5ba6cfc739819f72c2/python-hypothesis.py
ekepes,DemoCode,hypothesis/commutative.py,https://github.com/ekepes/DemoCode/blob/f7c7cae49bfe0b3124dc627370b14c879bd3611b/hypothesis/commutative.py
sergei-grechanik,peqsen,peqsen/hypergraph.py,https://github.com/sergei-grechanik/peqsen/blob/28514c66404bce960aca744a1743d9a85af127aa/peqsen/hypergraph.py
rpdelaney,dumbpw,.pythonrc.py,https://github.com/rpdelaney/dumbpw/blob/fa5f52ef2be934f2727639693eb619e92ce91f6a/.pythonrc.py
CloseChoice,dataframetrainer,backend/server.py,https://github.com/CloseChoice/dataframetrainer/blob/d4573de84a075bae6788a5e278341da061e9e391/backend/server.py
danilvr,configuration-management-mirea,лЪла 11-12/pr11_12/tree.py,https://github.com/danilvr/configuration-management-mirea/blob/eb1d0aa347d3ee7f26efd19e02a6dbd1da6045e5/%D0%9F%D0%A0%2011-12/pr11_12/tree.py
heartpunk,interview_cake,python/queue-two-stacks.py,https://github.com/heartpunk/interview_cake/blob/0a098a420dc91453b22cf86e219f6dccdb321c8a/python/queue-two-stacks.py
data-engineering-collective,plateau,plateau/core/testing.py,https://github.com/data-engineering-collective/plateau/blob/4b2dd03d42df69be54e436a6aff77b67ab9a3644/plateau/core/testing.py
vrthra,algorithms.py,sorts/mergesort.py,https://github.com/vrthra/algorithms.py/blob/fcb5217caf04fa517dd63029945ba120caf051dd/sorts/mergesort.py
vrthra,algorithms.py,sorts/shellsort.py,https://github.com/vrthra/algorithms.py/blob/fcb5217caf04fa517dd63029945ba120caf051dd/sorts/shellsort.py
heartpunk,interview_cake,python/find-rotation-point.py,https://github.com/heartpunk/interview_cake/blob/0a098a420dc91453b22cf86e219f6dccdb321c8a/python/find-rotation-point.py
ahmadhassanch,NICMachineLearning,Faisal/predictOneVsAll.py,https://github.com/ahmadhassanch/NICMachineLearning/blob/bd3e4438bc90309e0eeabbcdc5ace2f20ad1fbf1/Faisal/predictOneVsAll.py
kxepal,hypothesis-couchdb,hypothesis_couchdb/json.py,https://github.com/kxepal/hypothesis-couchdb/blob/e2a1aacbb44ffe0d15f240133464263e6182bad8/hypothesis_couchdb/json.py
davidblewett,hypothesis_ledger,docs/conf.py,https://github.com/davidblewett/hypothesis_ledger/blob/8b7391e78033dbc2fbb1fdbb5eedf8e993da0d54/docs/conf.py
FTDfangge,predict,predict.py,https://github.com/FTDfangge/predict/blob/484e2c7297d5553c557fa691eb9a482ee62df01a/predict.py
somenzz,geekbang,algorthms/aaa_trie.py,https://github.com/somenzz/geekbang/blob/30e566768096cc0e2d3b0780b24c82207d9f3bbc/algorthms/aaa_trie.py
TApplencourt,occ2det,validation.py,https://github.com/TApplencourt/occ2det/blob/50b3b881e42cac76eb3a241f790a7d4d9bda238f/validation.py
